term,definition
无标签示例,"包含 特征 但不包含 标签 的示例。
例如，下表显示了房屋估值模型中的三个未标记示例，每个示例都包含三个特征，但没有房屋价值：

在 监督式机器学习 中，模型基于带标签的样本进行训练，并基于 无标签的样本 进行预测。

在 半监督式 和 非监督式 学习中，在训练期间会使用无标签样本。

将无标签示例与 有标签示例 进行对比。"
非监督式机器学习,"训练 模型 ，以找出数据集（通常是无标签数据集）内的规律。

非监督式机器学习最常见的用途是将数据 聚类 为不同的组，使相似的样本位于同一组中。例如，无监督机器学习算法可以根据音乐的各种属性对歌曲进行聚类。生成的聚类可以作为其他机器学习算法（例如音乐推荐服务）的输入。当有用的标签很少或没有时，聚类分析可以提供帮助。
例如，在反滥用和反欺诈等领域，聚类有助于人们更好地了解数据。

与 监督式机器学习 相对。

如需了解详情，请参阅“机器学习简介”课程中的 什么是机器学习？ 。"
效果提升建模,"一种常用于营销领域的建模技术，用于对“处理”对“个体”的“因果效应”（也称为“增量影响”）进行建模。以下是两个示例：

医生可能会使用升力模型来预测医疗程序（处理）的死亡率降幅（因果效应），具体取决于患者（个体）的年龄和病史。 营销者可能会使用升幅建模来预测广告（处理）对个人造成的购买概率（因果效应）的增加。

升举建模与 分类 或 回归 的不同之处在于，在升举建模中，某些标签（例如，二元处理中的一半标签）始终缺失。例如，患者要么接受治疗，要么不接受治疗；因此，我们只能在其中一种情况下观察患者是否会痊愈（但绝不会同时在两种情况下观察）。升幅模型的主要优势在于，它可以针对未观测到的情况（反事实）生成预测，并使用该预测来计算因果效应。"
权重上调,向 降采样 的类别应用一个权重，该权重等于降采样所依据的因子。
用户矩阵,"在 推荐系统 中， 嵌入向量 由 矩阵分解 生成，其中包含有关用户偏好的潜在信号。
用户矩阵的每一行都包含关于单个用户的各种潜在信号的相对强度的信息。以电影推荐系统为例。在该系统中，用户矩阵中的潜在信号可能表示每个用户对特定类型的兴趣，也可能是更难以解读的信号，其中涉及多个因素之间的复杂互动关系。

用户矩阵包含的列和行分别对应每个潜在特征和每位用户。也就是说，用户矩阵与要进行分解的目标矩阵具有相同的行数。例如，假设某个影片推荐系统要为 100 万名用户推荐影片，则用户矩阵有 100 万行。"
验证,"对模型质量的初步评估。
验证会根据 验证集 检查模型预测的质量。

由于验证集与 训练集 不同，因此验证有助于防止出现 过拟合 。

您可以将根据验证集评估模型视为第一轮测试，将根据 测试集 评估模型视为第二轮测试。"
验证损失,"一种 指标 ，表示模型在训练的特定 迭代 期间，在 验证集 上的 损失 。

另请参阅 泛化曲线 。"
验证集,"数据集 的子集，用于针对经过训练的 模型 执行初始评估。通常，在针对 测试集 评估训练后的模型之前，您会先针对 验证集 评估该模型多次。

传统上，您会将数据集中的示例划分为以下三个不同的子集：

训练集 验证集 测试集

理想情况下，数据集中的每个示例都应仅属于上述子集之一。例如，单个示例不应同时属于训练集和验证集。

如需了解详情，请参阅机器学习速成课程中的 数据集：划分原始数据集 。"
价值插补,"用可接受的替代值替换缺失值的过程。如果缺少某个值，您可以舍弃整个示例，也可以使用值插补来挽救该示例。

例如，假设有一个数据集包含一个本应每小时记录一次的 temperature 特征。不过，在某个特定小时内，温度读数不可用。以下是数据集的一部分：

系统可以删除缺失的示例，也可以根据插补算法将缺失的温度插补为 12、16、18 或 20。"
梯度消失问题,"某些 深度神经网络 的早期 隐藏层 的梯度出人意料地变得平缓（低）。梯度越小，深度神经网络中节点的权重变化就越小，从而导致学习效果不佳或无法学习。如果模型受到梯度消失问题的困扰，则很难或无法进行训练。 长短期记忆 单元可以解决此问题。

与 梯度爆炸问题 相对。"
变量重要性,"一组分数，用于指示每个 特征 对模型的相对重要性。

例如，假设有一个用于估算房价的 决策树 。假设此决策树使用三个特征：尺寸、年龄和风格。如果计算出的三个特征的一组变量重要性为 {size=5.8, age=2.5, style=4.7}，则对于决策树而言，size 比 age 或 style 更重要。

存在不同的变量重要性指标，可让机器学习专家了解模型的不同方面。"
变分自编码器 (VAE),"一种利用输入与输出之间的差异来生成输入修改版本的 自动编码器 。变分自编码器非常适合 生成式 AI 。

VAE 基于变分推理，这是一种用于估计概率模型参数的技术。"
vector,"一个具有多重含义的术语，在不同的数学和科学领域中有着不同的含义。在机器学习中，向量具有两个属性：

数据类型：机器学习中的向量通常包含浮点数。 元素数量：这是向量的长度或 维度 。

例如，假设有一个包含 8 个浮点数的 特征向量 。此特征向量的长度或维度为 8。
请注意，机器学习向量通常具有大量维度。

您可以将多种不同类型的信息表示为向量。例如：

地球表面上的任何位置都可以表示为二维向量，其中一个维度是纬度，另一个维度是经度。 500 种股票的当前价格可以表示为一个 500 维的向量。 有限数量的类别的概率分布可以表示为向量。例如，一个预测三种输出颜色（红色、绿色或黄色）之一的 多类别分类 系统可以输出向量 (0.3, 0.2, 0.5) ，表示 P[red]=0.3, P[green]=0.2, P[yellow]=0.5 。

向量可以串联，因此各种不同的媒体都可以表示为单个向量。有些模型直接对许多 独热编码 的串联进行操作。

TPU 等专用处理器经过优化，可对向量执行数学运算。

向量是 秩 为 1 的 张量 。"
氛围编程 (vibe coding),"提示生成式 AI 模型创建软件。也就是说，您的提示会描述软件的用途和功能，然后生成式 AI 模型会将这些描述转换为源代码。生成的代码并不总是符合您的意图，因此 Vibe 编码通常需要迭代。

Andrej Karpathy 在这篇 X 帖子 中创造了“vibe coding”一词。在 X 帖子中，Karpathy 将其描述为“一种新型编码...完全沉浸在氛围中...”。因此，该术语最初是指一种有意宽松的软件创建方法，您甚至可能不会检查生成的代码。不过，在许多圈子里，这个术语的含义已迅速演变为指 任何 形式的 AI 生成的编码。

如需详细了解氛围编码，请参阅 什么是氛围编程 (vibe coding)？ 。

此外，还要将氛围编程与以下内容进行比较和对比：

规范化编码 对话式编码"
Wasserstein 损失,一种常用于 生成对抗网络 的损失函数，基于生成数据分布与真实数据分布之间的 推土机距离 。
重量,"模型乘以另一个值的值。 训练 是确定模型理想权重的过程； 推理 是使用这些学习到的权重进行预测的过程。

如需了解详情，请参阅机器学习速成课程中的 线性回归 。"
加权交替最小二乘 (WALS),"一种用于在 推荐系统 中进行 矩阵分解 时最小化目标函数的算法，以便对缺失的示例进行权重下调。WALS 交替修复行分解和列分解，以尽可能减小原始矩阵和重构矩阵之间的加权平方误差。
这些优化皆可通过最小二乘 凸优化 实现。如需了解详情，请参阅 推荐系统课程 。"
加权和,"所有相关输入值与其对应权重的乘积之和。例如，假设相关输入包含以下内容：

因此，加权和为：

加权和是 激活函数 的输入实参。"
宽度模型,"一种线性模型，通常有很多 稀疏输入特征 。我们之所以称之为“宽度模型”，是因为这是一种特殊类型的 神经网络 ，其大量输入均直接与输出节点相连。与 深度模型 相比，宽度模型通常更易于调试和检查。虽然宽模型无法通过 隐藏层 来表达非线性关系，但宽模型可以使用 特征交叉 和 分桶 等转换以不同的方式为非线性关系建模。

与 深度模型 相对。"
width,神经网络 中特定 层 的 神经元 数量。
群体的智慧,"一种观点，认为对一大群人（“大众”）的意见或估计值求平均值通常会产生出人意料的好结果。例如，假设有一款游戏，玩家需要猜测一个大罐子里装了多少颗软糖。虽然大多数个人猜测都不准确，但经验表明，所有猜测的平均值与罐中实际的糖豆数量非常接近。

集成 是“群体的智慧”的软件类比。
即使单个模型的预测结果非常不准确，但对多个模型的预测结果求平均值通常会生成出人意料的良好预测结果。例如，虽然单个 决策树 的预测效果可能不佳，但 决策森林 的预测效果通常非常好。"
